Estados,Capitales,latitud,longitud
Capital de Mexico,cdmx,19.411916,-99.133381
Aguascalientes,Aguascalientes,22.016878,-102.40983
Baja California,Mexicali,32.60027,-115.4309
Baja California Sur,La Paz,24.442619,-110.495273
Campeche,Campeche,19.36339,-90.949793
Chiapas,Tuxtla Gutierrez,16.74316,-93.14236
Chihuahua,Chihuahua,28.66229,-106.0733
Coahuila,Saltillo,25.282024,-101.087097
Colima,Colima,19.143689,-105.23543
Durango,Durango,24.428229,-104.410391
Guanajuato,Guanajuato,20.78805,-101.148453
Guerrero,Chilpancingo,17.380378,-99.691257
Hidalgo,Pachuca,20.097866,-98.775804
Jalisco,Guadalajara,20.672257,-103.339255
Estado de Mexico,Toluca,19.328874,-99.678294
Michoacan,Morelia,19.603131,-101.279327
Morelos,Cuernavaca,18.902989,-99.231186
Nayarit,Tepic,21.50227,-104.8754
Nuevo Leon,Monterrey,25.64685,-100.291373
Oaxaca,Oaxaca,17.082067,-96.71111
Puebla,Puebla,19.261047,-97.866033
Queretaro,Queretaro,20.672478,-100.4169
Quintana Roo,Chetumal,18.515356,-88.2901
San Luis Potosi,San Luis Potosi,21.889853,-99.558382
Sinaloa,Culiacan,24.80227,-107.4119
Sonora,Hermosillo,29.07401,-110.9504
Tabasco,Villahermosa,17.99376,-92.93534
Tamaulipas,Ciudad Victoria,23.74069,-99.13851
Tlaxcala,Tlaxcala,19.464632,-98.098535
Veracruz,Xalapa,19.54204,-96.91596
Yucatan,Merida,20.97787,-89.63943
Zacatecas,Zacatecas,22.349091,-103.282701
